P,T,vf,vg,uf,ug,hf,hfg,hg,sf,sg
0.006117,0.01,0.001,206,0,2374.9,0.000611783,2500.9,2500.9,0,9.155
0.008,3.76,0.001,159.6,15.81,2380.1,15.809,2492,2507.8,0.0575,9.057
0.01,6.97,0.001,129.2,29.3,2384.5,29.298,2484.4,2513.7,0.1059,8.975
0.012,9.65,0.001,108.7,40.57,2388.2,40.569,2478,2518.6,0.146,8.908
0.014,11.97,0.001001,93.9,50.28,2391.4,50.28,2472.5,2522.8,0.1802,8.852
0.016,14.01,0.001001,82.75,58.83,2394.2,58.84,2467.7,2526.6,0.2101,8.804
0.018,15.84,0.001001,74.01,66.49,2396.7,66.49,2463.4,2529.9,0.2366,8.761
0.02,17.5,0.001001,66.99,73.43,2398.9,73.43,2459.5,2532.9,0.2606,8.723
0.022,19.01,0.001002,61.21,79.79,2401,79.79,2455.9,2535.7,0.2824,8.688
0.024,20.41,0.001002,56.38,85.65,2402.9,85.66,2452.6,2538.2,0.3024,8.657
0.026,21.72,0.001002,52.27,91.11,2404.7,91.11,2449.5,2540.6,0.321,8.628
0.028,22.94,0.001002,48.73,96.2,2406.4,96.2,2446.6,2542.8,0.3382,8.601
0.03,24.08,0.001003,45.66,100.99,2407.9,100.99,2443.9,2544.9,0.3543,8.577
0.035,26.67,0.001003,39.47,111.83,2411.4,111.84,2437.7,2549.6,0.3907,8.521
0.04,28.96,0.001004,34.79,121.4,2414.5,121.4,2432.3,2553.7,0.4224,8.473
0.045,31.01,0.001005,31.13,129.98,2417.3,129.98,2427.4,2557.4,0.4507,8.431
0.05,32.88,0.001005,28.19,137.76,2419.8,137.77,2423,2560.8,0.4763,8.394
0.06,36.16,0.001006,23.73,151.49,2424.3,151.49,2415.2,2566.7,0.5209,8.329
0.07,39,0.001007,20.53,163.36,2428.1,163.37,2408.4,2571.8,0.5591,8.275
0.08,41.51,0.001008,18.1,173.84,2431.4,173.85,2402.4,2576.2,0.5925,8.227
0.09,43.76,0.001009,16.2,183.25,2434.5,183.26,2397,2580.3,0.6223,8.186
0.1,45.81,0.00101,14.67,191.8,2437.2,191.81,2392.1,2583.9,0.6492,8.149
0.11,47.68,0.001011,13.41,199.65,2439.7,199.66,2387.6,2587.2,0.6737,8.115
0.12,49.42,0.001012,12.36,206.9,2442,206.91,2383.4,2590.3,0.6963,8.085
0.13,51.04,0.001013,11.46,213.65,2444.1,213.66,2379.5,2593.1,0.7172,8.057
0.14,52.55,0.001013,10.69,220,2446.1,220,2375.8,2595.8,0.7366,8.031
0.15,53.97,0.001014,10.02,225.9,2448,225.9,2372.4,2598.3,0.7548,8.007
0.16,55.31,0.001015,9.431,231.5,2449.8,231.6,2369.1,2600.7,0.772,7.985
0.17,56.59,0.001015,8.909,236.9,2451.4,236.9,2366,2602.9,0.7882,7.964
0.18,57.8,0.001016,8.443,241.9,2453,241.9,2363.1,2605,0.8035,7.944
0.19,58.95,0.001017,8.025,246.8,2454.5,246.8,2360.2,2607,0.8181,7.925
0.2,60.06,0.001017,7.648,251.4,2456,251.4,2357.5,2608.9,0.832,7.907
0.22,62.13,0.001018,6.994,260.1,2458.7,260.1,2352.5,2612.6,0.8579,7.874
0.24,64.05,0.001019,6.446,268.1,2461.2,268.1,2347.8,2615.9,0.8818,7.844
0.26,65.84,0.00102,5.979,275.6,2463.5,275.6,2343.4,2619,0.904,7.817
0.28,67.52,0.001021,5.578,282.6,2465.7,282.6,2339.2,2621.8,0.9246,7.791
0.3,69.1,0.001022,5.229,289.2,2467.7,289.2,2335.3,2624.6,0.9439,7.767
0.35,72.68,0.001024,4.525,304.2,2472.3,304.3,2326.4,2630.7,0.9876,7.715
0.4,75.86,0.001026,3.993,317.5,2476.3,317.6,2318.5,2636.1,1.026,7.669
0.45,78.71,0.001028,3.576,329.5,2479.9,329.6,2311.3,2640.9,1.06,7.629
0.5,81.32,0.00103,3.24,340.4,2483.2,340.5,2304.7,2645.2,1.091,7.593
0.55,83.71,0.001032,2.964,350.5,2486.2,350.5,2298.7,2649.2,1.119,7.561
0.6,85.93,0.001033,2.732,359.8,2488.9,359.8,2293,2652.9,1.145,7.531
0.65,87.99,0.001035,2.535,368.5,2491.5,368.5,2287.7,2656.2,1.169,7.504
0.7,89.93,0.001036,2.365,376.6,2493.9,376.7,2282.7,2659.4,1.192,7.479
0.75,91.76,0.001037,2.217,384.3,2496.1,384.4,2278,2662.4,1.213,7.456
0.8,93.49,0.001038,2.087,391.6,2498.2,391.6,2273.5,2665.2,1.233,7.434
0.85,95.13,0.00104,1.972,398.5,2500.2,398.5,2269.3,2667.8,1.252,7.413
0.9,96.69,0.001041,1.869,405,2502.1,405.1,2265.2,2670.3,1.269,7.394
0.95,98.18,0.001042,1.777,411.3,2503.8,411.4,2261.3,2672.7,1.286,7.376
1,99.61,0.001043,1.694,417.3,2505.5,417.4,2257.5,2674.9,1.303,7.359
1.01325,99.97,0.001043,1.673,418.9,2506,419,2256.5,2675.5,1.307,7.354
1.1,102.3,0.001045,1.55,428.7,2508.7,428.8,2250.4,2679.2,1.333,7.327
1.2,104.8,0.001047,1.428,439.2,2511.6,439.3,2243.8,2683.1,1.361,7.298
1.3,107.1,0.001049,1.325,449,2514.3,449.1,2237.5,2686.6,1.387,7.271
1.4,109.3,0.001051,1.237,458.2,2516.9,458.4,2231.6,2690,1.411,7.246
1.5,111.4,0.001053,1.159,466.9,2519.2,467.1,2226,2693.1,1.434,7.223
1.6,113.3,0.001054,1.091,475.2,2521.4,475.3,2220.7,2696,1.455,7.201
1.7,115.1,0.001056,1.031,483,2523.5,483.2,2215.6,2698.8,1.475,7.181
1.8,116.9,0.001058,0.9775,490.5,2525.5,490.7,2210.7,2701.4,1.494,7.162
