P,T,v,u,h,s
0.006117,0.01,206,2374.9,2500.9,9.155
0.006117,20,221.1,2403.1,2538.4,9.288
0.006117,40,236.2,2431.3,2575.8,9.411
0.006117,60,251.3,2459.5,2613.3,9.527
0.006117,80,266.4,2487.9,2650.8,9.637
0.006117,100,281.5,2516.4,2688.6,9.741
0.006117,120,296.6,2545,2726.5,9.84
0.006117,140,311.7,2573.9,2764.6,9.934
0.006117,160,326.8,2602.9,2802.8,10.02
0.006117,180,341.9,2632.2,2841.3,10.11
0.006117,200,357,2661.6,2880,10.2
0.006117,220,372.1,2691.3,2918.9,10.28
0.006117,240,387.2,2721.3,2958.1,10.35
0.006117,260,402.3,2751.4,2997.5,10.43
0.006117,280,417.4,2781.8,3037.1,10.5
0.006117,300,432.5,2812.4,3077,10.57
0.006117,320,447.6,2843.3,3117.1,10.64
0.006117,340,462.6,2874.5,3157.4,10.71
0.006117,360,477.7,2905.9,3198.1,10.77
0.006117,380,492.8,2937.5,3238.9,10.84
0.006117,400,507.9,2969.4,3280.1,10.9
0.006117,420,523,3001.6,3321.5,10.96
0.006117,440,538.1,3034,3363.2,11.02
0.006117,460,553.2,3066.7,3405.1,11.08
0.006117,480,568.3,3099.7,3447.3,11.13
0.006117,500,583.4,3132.9,3489.8,11.19
0.006117,520,598.5,3166.5,3532.5,11.24
0.006117,540,613.6,3200.3,3575.6,11.3
0.006117,560,628.7,3234.4,3618.9,11.35
0.006117,580,643.7,3268.7,3662.5,11.4
0.006117,600,658.8,3303.4,3706.3,11.45
0.006117,640,689,3373.5,3794.9,11.55
0.006117,680,719.2,3444.8,3884.7,11.65
0.006117,720,749.4,3517.2,3975.5,11.74
0.006117,760,779.6,3590.7,4067.5,11.83
0.006117,800,809.7,3665.4,4160.7,11.92
0.01,0.01,0.001,0.000007,0.001007,0
0.01,20,135.2,2403,2538.2,9.06
0.01,40,144.5,2431.2,2575.7,9.184
0.01,60,153.7,2459.5,2613.2,9.3
0.01,80,163,2487.8,2650.8,9.41
0.01,100,172.2,2516.3,2688.5,9.514
0.01,120,181.4,2545,2726.4,9.613
0.01,140,190.7,2573.9,2764.5,9.707
0.01,160,199.9,2602.9,2802.8,9.798
0.01,180,209.1,2632.2,2841.3,9.885
0.01,200,218.4,2661.6,2880,9.968
0.01,220,227.6,2691.3,2918.9,10.05
0.01,240,236.8,2721.2,2958.1,10.13
0.01,260,246.1,2751.4,2997.5,10.2
0.01,280,255.3,2781.8,3037.1,10.27
0.01,300,264.5,2812.4,3077,10.35
0.01,320,273.7,2843.3,3117.1,10.41
0.01,340,283,2874.5,3157.4,10.48
0.01,360,292.2,2905.8,3198.1,10.55
0.01,380,301.4,2937.5,3238.9,10.61
0.01,400,310.7,2969.4,3280.1,10.67
0.01,420,319.9,3001.6,3321.5,10.73
0.01,440,329.1,3034,3363.1,10.79
0.01,460,338.4,3066.7,3405.1,10.85
0.01,480,347.6,3099.7,3447.3,10.91
0.01,500,356.8,3132.9,3489.8,10.96
0.01,520,366.1,3166.5,3532.5,11.02
0.01,540,375.3,3200.3,3575.6,11.07
0.01,560,384.5,3234.4,3618.9,11.12
0.01,580,393.7,3268.7,3662.5,11.18
0.01,600,403,3303.4,3706.3,11.23
0.01,640,421.4,3373.5,3794.9,11.33
0.01,680,439.9,3444.8,3884.7,11.42
0.01,720,458.4,3517.2,3975.5,11.51
0.01,760,476.8,3590.7,4067.5,11.61
0.01,800,495.3,3665.4,4160.7,11.69
0.05,0.01,0.001,0.000081,0.005082,0
0.05,20,0.001002,83.92,83.92,0.2965
0.05,40,28.85,2430.1,2574.4,8.438
0.05,60,30.71,2458.7,2612.3,8.555
0.05,80,32.57,2487.3,2650.1,8.666
0.05,100,34.42,2516,2688,8.77
0.05,120,36.27,2544.7,2726.1,8.869
0.05,140,38.12,2573.6,2764.2,8.964
0.05,160,39.97,2602.7,2802.6,9.055
0.05,180,41.82,2632,2841.1,9.141
